item_id,component_or_pair,parameter_family,parameter_or_scheme,source_key,value_or_choice,status,phase1_role,notes
CO2_pure_basis,CO2,pure_parameter_basis,nonassociating molecular row,Gross2001_via_Baygi2015,"m=2.0729; sigma=2.7852 A; epsilon/k=169.21 K",fixed_literature_choice,neutral EOS component,"The retained Phase 1 baseline keeps the standard nonassociating CO2 row used in Baygi 2015 and the repo neutral-parity workflow."
MEA_scheme_2B,MEA,association_scheme_option,2B,Baygi2015,"m=3.0353; sigma=3.0435 A; epsilon/k=277.174 K; kappa_AB=0.037470; epsilon_AB/k=2586.3 K",documented_not_selected,historical option,"Retained repo neutral parity uses this inherited molecular row for continuity, but Baygi 2015 did not select it as the best MEA-H2O binary baseline."
MEA_scheme_3B,MEA,association_scheme_option,3B,Baygi2015,"m=4.5354; sigma=2.6019 A; epsilon/k=204.0438 K; kappa_AB=0.118488; epsilon_AB/k=2383.4744 K",selected_phase1_literature_choice,Smith-Missen literature baseline,"Baygi 2015 selected the 3B MEA scheme when paired with 4C water for the neutral PC-SAFT baseline."
MEA_scheme_4C,MEA,association_scheme_option,4C,Baygi2015,"m=4.5208; sigma=2.6574 A; epsilon/k=237.6864 K; kappa_AB=0.187533; epsilon_AB/k=989.8984 K",documented_not_selected,historical option,"Documented as a screened option in Baygi 2015."
H2O_scheme_2B,H2O,association_scheme_option,2B,Diamantonis2011_via_Baygi2015,"m=1.9599; sigma=2.3620 A; epsilon/k=279.42 K; kappa_AB=0.1750; epsilon_AB/k=2059.28 K",documented_not_selected,historical option,"Included because Baygi 2015 screened both 2B and 4C water against the MEA scheme candidates."
H2O_scheme_4C,H2O,association_scheme_option,4C,Diamantonis2011_via_Baygi2015,"m=2.1945; sigma=2.2290 A; epsilon/k=141.66 K; kappa_AB=0.2039; epsilon_AB/k=1804.17 K",selected_phase1_literature_choice,Smith-Missen literature baseline,"Baygi 2015 selected 4C water together with 3B MEA."
MEA_H2O_binary_selected,MEA-H2O,binary_interaction_choice,k_ij for MEA 3B / H2O 4C,Baygi2015,"k_ij=-0.0520",selected_phase1_literature_choice,binary neutral validation,"Baygi 2015 Table 3 reported the best MEA-H2O binary VLE result for the selected 3B/4C pair at k_ij=-0.0520."
MEA_H2O_binary_repo_retained,MEA-H2O,binary_interaction_choice,retained neutral-parity k_ij,src/MEA/epcsaft_neutral/parameters.py,"k_ij=-0.1800",retained_repo_baseline,neutral parity continuity check,"The repo neutral-parity translation check still uses the inherited legacy k_ij row; this is a continuity check, not the literature-selected Phase 1 parameter choice."
Jou_pressure_validation,CO2-MEA-H2O,validation_dataset,30 wt% MEA CO2 partial pressure,Jou1995,"machine-readable CO2 pressure vs loading rows under data/reference/MEA/VLE/Jou_1995_VLE.csv",present_machine_readable,pressure baseline validation,"This is the canonical Phase 1 pressure target set used by the retained baseline scripts."
Jakobsen_speciation_validation,CO2-MEA-H2O,validation_dataset,30 wt% MEA true-species liquid composition,Jakobsen2005,"machine-readable 20 C and 40 C NMR-derived rows under data/reference/MEA/ChEq/Jakobsen_2005_ChEq.csv",present_machine_readable,speciation baseline validation,"This is the canonical Phase 1 speciation target set used by the retained baseline scripts."
